project_id,project_name,display_name,transaction_count,gas_fees,active_days,is_eligible
nrBN5UU9cny2/KPrQFVI7k6AOnIRr7gYok3UIwdpq6c=,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,4796740,4.98391867676074,180,True
imahnjIpbGgSkNyqkOjhlczoUga8ECPoEpirrLs68jQ=,0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,4780246,2.1483192820916956,180,True
iXR35Xnzm4ioS5d0Eka/UAnUN9CHj4iasG/B8CgiWP8=,0x7539f43dc91f9c406c83a06339708e4033cdbf630916c6dfb9de2b5ef811affd,Seamless Protocol,4361254,3.9740045658055534,180,True
D/phNjIkMkuESYi0XbICo299wHOagQbo2WSAyODxDp0=,0x62e37e96aa6e1cbfb6bd24b97c4b8f1e12cc3fe35d5388d2f041c42a12b40745,Stargate Finance,4222027,3.2157775866073783,180,True
bDxpkfd5t/ov2xAQJgRxa1+8NHWM85j0W90gc6Nls1c=,0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5,Morpho ,4063717,15.796118820698418,180,True
Ev7dKCphBYkf+NNT80NfBdyEIVWwBZc/1xctF4i+V2A=,0xfe8e35b3487bd0e0457b9431b12b73403ca1f5c9c19dd1db81a2317c97c1e1a2,Stoke Fire,3895422,18.87460044864074,180,True
7o3rQns2QxmMIyr/Lp6EXIqBE9mvqX+1V6tQ8g1t/MM=,0x000c2ce4773defb3010a58d3800d0ec9d432189c574ba26d3103f1db44a5af6d,WOOFi,3797589,2.7735351969111894,180,True
WvG0+xCgbgk6IN8ZUd/VRBFLGPobR5t0TCxeWWyBrYQ=,0x8595f830f4d1716621d19bca6394f304837133fb473d8fcd1699e84402df1409,SwapBased,3731795,1.472101620543244,180,True
g4qi9EqhPO1tGvlPtWynCaP71tw4Gjrzc+UokJDZz2Y=,0x18e7582de42dd9a7fd2cb69fb6566b8bcb3e86b936b229b0c5af78fa1de791a4,DackieSwap,3691794,1.614934306978622,180,True
x91Urxvh3gomZ6NPe6Ze1RC30INtlzy4nlOwvxwRQnw=,0xfd9f98de666c5b0a5ce96d4a4b8d4ceee9f8c2156734d57bf6c23d0cff183e90,Kim Exchange,3484621,0.06113163471470503,180,True
g1pi0NuLcPtSAjpxGRMTIM2ZRs5y6h3IpcW0PRKvSQo=,0xfc54b4a9c537be25238cba3f05100b733aeee83a3eb3fdae60d651b3b913390c,Multicaller,3429080,2.9302367018788344,180,True
91qfxPoeZBT6hPZrVLYcaDcgwMNG5MDH77cGiTtBxyQ=,0x70624cd9a8be4ead96e5097025eb645b9848e2643e5025a4006dee2cff1a4138,WAGMI,3089136,3.3742953735980232,180,True
NdwYMf5FYV0V3mi7zOJ4ABpqc2klQTCimnNKCqvZ4z0=,0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,2872123,0.045686503562088865,180,True
WHFAB3T/+twwBk665nB9w6CsvlhsOEpfPMTT+AfOcmY=,0x7eb6ba7a1057659d04ec414446c1b32509bf57704958139266c7120903446ad6,Pinto Protocol,2602075,13.408518182576822,133,True
iHkkzr7r4TtJl1Pe3jRW6Le1xzeaou/GJe/x5F+VKcA=,0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,Send,2475452,0.08936353836603723,180,True
zdNq7Cvjqx03oRiL22rCANVA7/8MBGaoc3InNwm3LCA=,0xb620f012eb197e5661f65c1a5aee6a4bbb43629f0056879ae4dc66adf8383ae3,ORB,2359686,0.000296230395978983,148,True
JbP9BR4xjNu+yvhnSQkWqjlTW33drd+NLR8HY0uie84=,0xe5c133e05956a3939b9a78f4ad5d0a897a027da60a7d5e1b6276a2266211f69f,BMX,2297249,2.662018441933439,180,True
1Ll7MLXCxNJFxQCuBEdRnRVk164keWjynVtQJF++xGU=,0x512f97f1de28ad530f752d53bf4f56ed16d34a3121f0512cd5a0485c2074b312,Extra Finance,2108221,26.623628360797685,180,True
2NhWIeNvC8fOFWoX3/SsLCHtwifSk3TYSEagnfFthIk=,0xb26d9315cec30e60b52efd523c25a260c41d573458b246e60cf2de76eefd15a4,MintSwap Finance,2098868,42.81586828227617,180,True
wzX0MzHFlylzzHVBLRO8ZX30RYXbg4h3K8XwNrRmJos=,0x0b8acaf73a25ba1f64bf829f9678beb8b7edf825353ebea38085590d78d74d5d,Tokiemon,2034990,3.1407346817141804,180,True
mdb4FjuCCmOI5Tc+xwDeXfQd/1Nm2o7JZy8ZHzlxC9o=,0x259b729af86ba38c0c84be9b739dfbca109a6df985371d8cabd43116d18d7a1a,Flaunch,1691652,0.5642611996257239,62,True
23XIt7EgzQNc2AdcEzTg7GbjT5kKY1lNFfmcGQvrkWA=,0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,1671740,99.93057495376644,180,True
a71tbYAPlOpIwh4+Y591PqZ/kYIbS4qRRpQ8WH2w4oM=,0x3526b9c6fdc34076d7d2c31893b94e760f4d5a010387b6b76b45f8b5577ceb98,Gyroscope,1598203,0.007923463003143918,180,True
xIbbe0c5UuvK+FcT9NA6+83THJRxj1w9FnFI1PaYAGo=,0x82edc3ac2a03da21c5a6033159ba8e97aab2f61dc5d1d9813929fea6d6c35362,Superform,1445068,4.9577470816878595,180,True
1TLTRUof21yQ9U4hpzbBFOxsAYwtkoq1KsBpe3xQgtk=,0xc3a50c1784f3ac4fc8ae72d07cf0bfcf933e3d23ffb5a3ab46263182a098e617,remx.xyz,1340671,0.046342185155555264,180,True
tEUQBjhYBdWaLRVt375K9avn6ysFWbvqZz85jmaPR2w=,0xf24315614063278ba3543e1717791132a9afa79b0e65baa01a85bcccbdfa215f,deBridge,1333315,34.44372717091411,180,True
vCa+wBp0799NJ8j9L6UgKxKmqiLT95Zk/aQX/hXty7c=,0x0ee3defac0e2a31b995bc073ac02a2140aaf01679e141eb8d1d80409f75f90ea,Mint Club,1301956,5.90091912821609,180,True
Vbt0Je/QVMzwz2kXjZhu4hCHrfa5JmL17azwgy9pDRY=,0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,BSX,1202387,17.931493965788018,180,True
lWJtSU1/x0pxa2x/PDlxUrIjG951wWu6c2WXiUCUKO4=,0xd3d00c946f62ac8cf49a85e3ab7d295d3b56f68d0b9f1fa4d595742fa372cf78,Compound Finance,1177844,0.7011195902827274,180,True
RwTF+Ure0P/OZd3Tq05ZqBM/QrVh0ViJBuqRDH/f1qo=,0x0b06e685eab9c4fee7d93ca54e1c02281e2be560bfc54f43fa738961fa2ce4c1,Coop Records,1170701,0.3056967030126972,180,True
rV6VRIUtgdaeu5+g1y7vloRmK9sbBEl3rFCs1r7OR7A=,0xb926ab918147d2264dba94a429eb07986aa533fd6062a78736d3eda4e0b4a69b,Oku Trade,1069963,0.005412154244763934,180,True
JTetyUvTgu3P3fKekPJHOjCG1Uuv2TfuDHm9hjADzPM=,0x149bc5c396fd3dccac39c92164bb6b8bccc4d215321b58e241af07a76616e031,Hop Protocol,957108,0.16021912008151057,180,True
FT3wZj26UAebMH4ywu7oQvrie1GQSmu9aogl40bsCWQ=,0x0008577196fa6ec286440b418e2f6305fc10e62ce759625d826be272ee6b45a3,CreateX,831744,4.084251195611457,180,True
Js09gjzwO4g6aeV2Fb+ZNlHypJc4DlUozk3enNLotIc=,0xcbfdcf8f724d73504d1518d5ecd7d7256b12d37e68cd84569b383bfb6e2eeea4,Dmail Network,769657,1.2003216950821767,180,True
0eM1b8HKnTMw5hgzgPw3l3m4A4wwTQd/0e1rFWNPz8o=,0xd54e1032bf16d649f8f8f0a7da42a249966ad4a270b4c17b24ded1e32c97b2bf,NFTs2Me,740895,0.8130045068356598,180,True
HWseNMpaGXySSUevj2VVHOyjIcwPrWDZaV1BEkOzPQg=,0xa09305aa57a60e362b11911666f6310f46c959ead9116333d2e7ca91aee180bf,Super Account,681294,0.000248334773555319,168,True
VTFjeAN76kGnqTqKP+SMe2HPaIKY3wKvwo613l6OWN0=,0x098fca4a62159ddfc2c45dc2931a727d56f039b8f68e31222b927aaf2ce75b9e,pods.media,654490,18.800981108027873,180,True
kzVtJyjzFHc1PHeVOLOQBylRu9CEXQs0ViUbfhERY70=,0xf9513b5bfca3be3513450bd56b48ae485ce157aa56c1d8b2e06a68bce0b8d084,LeverageX by Javsphere,645839,4.58233855304902,131,True
